一、发行人董事会声明,0
二、发行人相关负责人声明,0
三、主承销商勤勉尽责声明,0
四、投资提示,0
五、其他重大事项和风险提示,0
六、本期债券基本要素,0
（一）发行人：宁德市交通投资集团有限公司。,0
（二）债券名称：2016年第一期宁德市交通投资集团有限公司公司债券（简称“16宁德交投债01”）。,0
（三）发行总额：不超过人民币7.00亿元（含7.00亿元）。,0
（十三）承销方式：本期债券由主承销商组织承销团采取余额包销的方式进行承销。,0
（十四）牵头主承销商、簿记管理人：海通证券股份有限公司。,0
（十五）联席主承销商：国开证券有限责任公司。,0
（十六）债权代理人、监管银行：国家开发银行股份有限公司福建省分行。,0
（十八）担保方式：本期债券无担保。,0
释   义,0
第一条  债券发行依据,0
第二条  本期债券发行的有关机构,0
一、发行人：宁德市交通投资集团有限公司,0
二、承销商,0
（一）牵头主承销商：海通证券股份有限公司,0
（二）联席主承销商：国开证券有限责任公司,0
三、托管人,0
（一）中央国债登记结算有限责任公司,0
（二）中国证券登记结算有限责任公司上海分公司,0
四、账户及资金监管人、债权代理人：国家开发银行福建省分行,0
五、审计机构：福建华兴会计师事务所（特殊普通合伙）,0
六、信用评级机构：联合资信评估有限公司,0
七、发行人律师：北京大成律师事务所,0
第三条  发行概要,0
一、发行人：宁德市交通投资集团有限公司。,0
二、债券名称：2016年第一期宁德市交通投资集团有限公司公司债券；,0
三、发行总额：不超过人民币7.00亿元（含7.00亿元）。,0
四、债券期限：本期债券期限为10年，附设第5个计息年度末发行人调整票面利率选择权和投资者回售选择权。,0
十三、承销方式：本期债券由主承销商组织承销团采取余额包销的方式进行承销。,0
十四、牵头主承销商、簿记管理人：海通证券股份有限公司。,0
十五、联席主承销商：国开证券有限责任公司。,0
十六、债权代理人、监管银行：国家开发银行股份有限公司福建省分行。,0
十八、担保方式：本期债券无担保。,0
十九、发行价格：本期债券面值100元，按面值平价发行。,0
二十、簿记建档日：本期债券的簿记建档日为2016年9月9日。,0
第四条  认购与托管,0
五、本期债券发行结束后，投资者可按照国家有关法律法规进行债券的转让。,0
第五条  债券发行网点,0
二、本期债券通过上海证券交易所发行部分，具体发行网点见附表一中标注“▲”的发行网点。,0
第六条  认购人承诺,0
一、本期债券的投资者接受本募集说明书对本期债券各项权利义务的所有规定并受其约束；,0
（一）本期债券发行与上市交易（如已上市交易）的批准部门对本期债券项下的债务变更无异议；,0
（四）原债务人与新债务人按照有关主管部门的要求就债务转让承继进行充分的信息披露。,0
第七条  债券本息兑付办法及选择权行使办法,0
一、利息的支付,0
（三）根据国家税收法律、法规，投资者投资本期债券应缴纳的有关税金由投资者自行承担。,0
二、本金的兑付,0
三、发行人调整票面利率选择权和投资者回售选择权约定,0
"（六）投资者回售本期债券，回售金额必须是人民币1,000元的整数倍且不少于1,000元。",0
（八）本期债券未注销部分的票面利率，以发行人关于是否调整本期债券票面利率以及调整幅度的公告内容为准。,0
第八条  发行人基本情况,0
一、发行人概况,0
二、发行人历史沿革,4
（一）发行人设立,0
（二）发行人设立企业集团,0
（三）发行人名称变更,0
（四）发行人实收资本第一次变更,0
（五）发行人实收资本第二次变更,0
（六）发行人实收资本第三次变更,0
（七）宁德市旅游集团有限公司整体划入,0
（八）取消宁德市旅游集团有限公司,0
（九）宁德市港务集团有限公司整体划入,0
三、发行人股东情况,0
四、公司治理和组织结构,9
（一）公司治理情况,0
1、董事会,0
2、监事会,0
3、总经理,0
（二）组织结构,0
五、发行人与出资人的投资关系,0
六、发行人控股和参股子公司情况,0
（一）控股子公司情况,0
1、宁德市港务集团有限公司,0
2、福建省宁德市汽车运输有限公司,0
3、宁德市路桥建设有限公司,0
4、宁德市交通建设开发有限公司,0
5、宁德市交投实业发展有限公司,0
6、宁德市投资开发有限公司,0
7、宁德市交投置业房地产开发有限公司,0
8、宁德市公共交通有限公司,0
9、宁德屏古高速公路有限责任公司,0
10、宁德沈海复线双福高速公路有限责任公司,0
（二）参股子公司情况,0
1、宁德福寿高速公路有限责任公司,0
2、宁德沈海复线高速公路有限责任公司,0
七、发行人董事、监事及高级管理人员简介,0
（一）公司董事、监事及高级管理人员情况,12
（二）董事、监事、高级管理人员主要工作经历,0
（三）董事、监事、高级管理人员兼职情况,0
第九条  发行人业务情况,0
一、发行人主营业务情况,14
（一）营业收入,0
（二）营业成本,0
（三）营业毛利,0
（四）毛利率,0
二、发行人主营业务经营模式,0
（一）交通运输,0
1、客运、货运,0
2、城市公交,0
（二）建材销售,0
1、经营概况,0
2、交投实业购销情况,0
3、港务集团建材销售购销情况,0
（三）工程施工,0
（四）交通基础设施建设业务,0
（五）港口业务,0
1、经营概况,0
2、业务收入明细,0
3、购销情况,0
4、政府补助情况,0
三、发行人所在行业情况,15
（一）行业现状及前景,0
1、交通运输行业现状和前景,0
2、交通基础设施建设行业现状和前景,0
（二）发行人在行业中的地位及竞争优势,0
1、发行人的行业地位,0
2、发行人竞争优势,0
（三）发行人未来发展规划,17
四、发行人所在区域经济现状和发展前景,0
第十条  发行人财务情况,0
一、发行人近三年及一期财务数据及财务指标,0
（一）发行人近三年经审计的主要财务数据及财务指标,0
1、流动比率=流动资产合计/流动负债合计,0
2、速动比率=（流动资产合计-存货）/流动负债合计,0
3、利息保障倍数=（利润总额+计入财务费用的利息支出）/计入财务费用的利息支出,0
4、资产负债率=负债合计/资产总计×100.00%,0
5、主营业务毛利率=主营业务毛利/主营业务收入×100.00%,0
6、总资产报酬率=（净利润+财务费用）/平均资产总计余额×100.00%,0
7、净资产收益率=净利润/所有者权益合计平均余额×100.00%,0
8、存货周转率=营业成本/平均存货余额,0
9、净资产周转率=营业收入/平均所有者权益合计余额,0
10、总资产周转率=营业收入/平均资产总计余额,0
二、发行人财务分析,0
（一）财务概况,0
（二）资产负债结构分析,0
1、资产结构分析,0
2、负债结构分析,0
（三）盈利能力分析,0
1、营业收入,0
2、营业成本,0
3、营业毛利,0
4、毛利率,0
5、补贴收入,0
（四）营运能力分析,0
（五）偿债能力分析,0
1、短期偿债能力分析,0
2、长期偿债能力分析,0
（六）现金流量分析,0
1、经营活动产生的现金流量,0
2、投资活动产生的现金流量,0
3、筹资活动产生的现金流量,0
三、资产受限情况,0
四、关联交易情况,16
（一）公司的股东情况,0
（二）公司的子公司及参股公司情况,8
（三）关联交易情况,0
1、采购货物及接受劳务,0
2、销售货物及提供劳务,0
3、担保事项,0
4、关联方应收应付款项,0
五、对外担保情况分析,0
六、本期债券发行后发行人的财务结构变化,0
（一）财务数据的基准日为2015年12月31日；,0
（二）假设本期债券（发行总额人民币7.00亿元）在2015年12月31日完成发行。,0
第十一条  已发行尚未兑付的债券,0
一、已发行的债券情况,0
二、存续期债务违约及延迟支付本息情况,0
第十二条  募集资金的用途,0
一、募集资金用途概况,0
二、募集资金项目情况,0
（一）募投项目概况,0
（二）募投项目的必要性和社会效益,0
1、项目建设的必要性,0
2、项目社会效益,0
（三）沈海公路复线福安至蕉城漳湾段项情况,0
1、项目基本情况,0
2、项目审批情况,0
3、项目建设情况,0
4、项目经济效益分析,0
（四）沈海复线福鼎贯岭至柘荣段工程项目,0
1、项目基本情况,0
2、项目审批情况,0
3、项目建设情况,0
4、项目经济效益,0
三、募集资金使用计划及管理制度,0
（一）募集资金使用计划,0
